Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,2u2,
"C10, C11, C12, C13, C18, C26, C27, C28, C29, C3, C30, C31, C32, C33, C4, C45, C5, C6, C7, C8, C9",0603,21,100n,
"C14, C15, C16, C17",CP_Elec_4x4.5,4,100u,
"C19, C20, C21, C22, C23, C24, C25",0603,7,C,
"C34, C35, C42, C43",0603,4,510p,
"C36, C44",0603,2,10p,
"C37, C38, C39, C40, C41",0603,5,1u,
"D1, D2",0603,2,LED,
IC1,QFN-32-1EP_7x7mm_P0.65mm_EP4.7x4.7mm,1,ES9039Q2M,
IC2,SOP65P490X110-13N,1,LT3094EDD_PBF,
"J1, J8",NEUTRIK_NC3MAH,2,NC3MAH,
J10,JST_B4B-PH-K-S,1,B4B-PH-K-S,
J2,RCJ-2221,1,RCJ-2234,
J3,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,1,B7B-PH-K-S,
J5,BarrelJack_Horizontal,1,Jack-DC,
J6,2X10_BOXHEADER,1,Conn_ARM_JTAG_SWD_10,
J7,JST_B2B-PH-K-S,1,B2B-PH-K-S,
J9,GCT_USB4110GFA,1,USB4110GFA,
PS1,CONV_TMR_3-1223E,1,TMR_3-1223E,
R1,0603,1,820,
"R10, R11, R19, R20, R21, R22, R8, R9",0603,8,3k6,
"R12, R13, R25, R26",0603,4,140,
"R14, R15, R23, R24",0603,4,4k7,
"R16, R17",0603,2,47k,
R18,0603,1,100,
R2,0603,1,12k 1%,
R3,0603,1,1M,
"R4, R5",0603,2,5K1,
"R6, R7",0603,2,1k,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,USB3300-EZK,
U2,LQFP-144_20x20mm_P0.5mm,1,STM32H723ZGTx,
U3,SOT-457,1,IP4234CZ6,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA1612AxD,
U6,SOP50P490X110-11N,1,LT3042IMSE_PBF,
U7,SOT95P280X145-5N,1,TPS7A2033PDBVR,
Y3,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,NSC5083D,
