Designator,Mid X,Mid Y,Rotation,Layer
C1,143.5,-105.0,90.0,top
C10,141.5,-105.0,90.0,top
C11,135.0,-117.0,180.0,top
C12,135.0,-122.0,180.0,top
C13,135.0,-129.0,180.0,top
C14,185.5,-91.8,270.0,top
C15,185.5,-99.3,270.0,top
C16,187.5,-69.0,0.0,top
C17,187.5,-74.0,0.0,top
C18,182.0,-91.5,90.0,top
C19,149.5,-135.0,270.0,top
C2,165.0,-113.0,0.0,top
C20,155.5,-135.0,270.0,top
C21,178.5,-110.5,90.0,top
C22,182.0,-115.5,0.0,top
C23,182.0,-118.5,0.0,top
C24,188.5,-118.5,0.0,top
C25,188.5,-115.5,0.0,top
C26,170.0,-146.0,270.0,top
C27,153.5,-144.5,270.0,top
C28,174.5,-110.5,90.0,top
C29,168.85,-116.65,180.0,top
C3,147.5,-135.0,270.0,top
C30,182.0,-120.5,0.0,top
C31,182.0,-113.5,0.0,top
C32,182.0,-99.0,90.0,top
C33,189.5,-78.0,180.0,top
C34,151.0,-81.5,90.0,top
C35,147.0,-88.5,0.0,top
C36,146.5,-77.0,180.0,top
C37,123.5,-93.5,0.0,top
C38,140.5,-90.5,0.0,top
C39,123.5,-91.5,0.0,top
C4,157.5,-135.0,270.0,top
C40,123.5,-95.5,0.0,top
C41,140.5,-96.5,0.0,top
C42,113.0,-81.5,90.0,top
C43,117.0,-88.5,0.0,top
C44,118.5,-77.0,180.0,top
C45,131.0,-145.5,270.0,top
C5,165.0,-128.0,0.0,top
C6,165.0,-121.5,0.0,top
C7,165.0,-116.5,0.0,top
C8,165.0,-111.0,0.0,top
C9,153.5,-105.0,90.0,top
D1,143.0,-146.0,90.0,top
D2,146.5,-146.0,90.0,top
IC1,132.0,-96.275,0.0,top
IC2,162.5,-78.875,0.0,top
J1,146.0,-60.995,180.0,top
J10,185.0,-148.0,0.0,top
J2,68.5005,-45.4875,270.0,top
J3,121.0,-148.0,180.0,top
J5,186.85,-58.625,270.0,top
J6,162.46,-147.865,0.0,top
J7,198.05,-67.5,90.0,top
J8,118.0,-60.995,180.0,top
J9,171.5,-56.0625,180.0,top
PS1,196.575,-90.99,270.0,top
R1,176.5,-110.5,90.0,top
R10,147.0,-90.5,180.0,top
R11,147.0,-92.5,180.0,top
R12,147.0,-72.5,90.0,top
R13,142.5,-72.5,90.0,top
R14,146.5,-75.0,0.0,top
R15,143.0,-75.0,0.0,top
R16,127.675,-115.0,0.0,top
R17,127.675,-117.51,0.0,top
R18,188.0,-139.325,90.0,top
R19,111.0,-81.5,90.0,top
R2,182.0,-111.5,0.0,top
R20,109.0,-81.5,90.0,top
R21,117.0,-90.5,180.0,top
R22,117.0,-92.5,180.0,top
R23,118.5,-75.0,0.0,top
R24,115.0,-75.0,0.0,top
R25,119.0,-72.5,90.0,top
R26,114.5,-72.5,90.0,top
R3,192.0,-117.0,90.0,top
R4,166.5,-59.5,180.0,top
R5,176.5,-59.5,0.0,top
R6,143.0,-142.5,90.0,top
R7,146.5,-142.5,90.0,top
R8,153.0,-81.5,90.0,top
R9,155.0,-81.5,90.0,top
U1,175.5,-117.0,0.0,top
U2,150.0,-120.0,0.0,top
U3,171.5,-63.2,270.0,top
U4,146.0,-83.0,180.0,top
U5,118.0,-83.0,180.0,top
U6,162.5,-85.17,0.0,top
U7,141.0,-100.0,0.0,top
Y3,140.5,-93.5,90.0,top
